0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:42 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /loungerecommdisplay.do HTTP/1.1" 200 10462
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:43 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:44 +0900] "GET /lounge_list.do HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:44 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:45 +0900] "GET /lounge_list.do HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:45 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:45 +0900] "GET /lounge_list.do HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:45 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:45 +0900] "GET /lounge_list.do HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:15:45 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:41 +0900] "GET /lounge_list.do HTTP/1.1" 200 10457
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:41 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:41 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:41 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:41 +0900] "GET /resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:43 +0900] "GET /lounge/lounge_share_list.do HTTP/1.1" 200 10479
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:43 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:18:43 +0900] "GET /lounge/resources/images/home/mainlogo.png HTTP/1.1" 404 721
